Title,description,authors,publisher,publishedDate,categories,ratingsCount
Lucifer's Hammer,"The gigantic comet had slammed into Earth, forging earthquakes a thousand times too powerful to measure on the Richter scale, tidal waves thousands of feet high. Cities were turned into oceans; oceans turned into steam. It was the beginning of a new Ice Age and the end of civilization. But for the terrified men and women chance had saved, it was also the dawn of a new struggle for survival--a struggle more dangerous and challenging than any they had ever known.... ""Massively entertaining."" CLEVELAND PLAIN-DEALER","Larry Niven, Jerry Pournelle",Fawcett Books,1983,Fiction,46.0
"Little women: Or, Meg, Jo, Beth, and Amy","Little Women with a twist: four sisters from a blended family experience the challenges and triumphs of life in NYC in this beautiful full-color graphic novel perfect for fans of Roller Girl and Smile. Meg, Jo, Beth, and Amy are having a really tough year: with their father serving in the military overseas, they must work overtime to make ends meet...and each girl is struggling in her own way. Whether it's school woes, health issues, boy troubles, or simply feeling lost, the March sisters all need the same thing: support from each other. Only by coming together--and sharing lots of laughs and tears--will these four young women find the courage to discover who they truly are as individuals...and as a family. Meg is the eldest March, and she has a taste for the finer things in life. She dreams of marrying rich, enjoying fabulous clothes and parties, and leaving her five-floor walk-up apartment behind. Jo pushes her siblings to be true to themselves, yet feels like no one will accept her for who she truly is. Her passion for writing gives her an outlet to feel worthy in the eyes of her friends and family. Beth is the shy sister with a voice begging to be heard. But with a guitar in hand, she finds a courage that inspires her siblings to seize the day and not take life for granted. Amy may be the baby of the family, but she has the biggest personality. Though she loves to fight with her sisters, her tough exterior protects a vulnerable heart that worries about her family's future.",Rey Terciero,"Little, Brown Books for Young Readers",2019-02-05,Juvenile Fiction,6.0
"Brave new world,: A novel",Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom,Aldous Huxley,Harper Collins,1998-09,Fiction,2711.0
"Sloppy Firsts (Jessica Darling, Book 1)","Devastated when her best friend moves away, sixteen-year-old Jessica Darling feels isolated at school and at home, as she struggles to deal with her father's obsession with her track meets, her boy-crazy peers, and her own nonexistent love life.",Megan McCafferty,Broadway Books,2001,Fiction,45.0
Of Mice & Men,"Tells a story about the strange relationship of two migrant workers who are able to realize their dreams of an easy life until one of them succumbs to his weakness for soft, helpless creatures and strangles a farmer's wife.",John Steinbeck,Lulu.com,1937,California,2950.0
Ryan's Return,"From # 1 NYT Bestselling Author Barbara Freethy comes an emotional and romantic contemporary novel about love, family and a little bit of magic. Customers who like books by Debbie Macomber, Nora Roberts, and Robyn Carr might enjoy this story. A HEART IS CALLED HOME... Famous photojournalist Ryan Hunter has come back to a family torn apart by mistrust and resentment -- to the father who disowned him, to the brother who betrayed him, to the little boy who shares his features. Ryan, the charismatic ""bad boy"" son, has returned -- stirring up past conflicts like a whirlwind...and throwing Kara Delaney's fragile, passionate heart into turmoil. ...AND LOVE IS WAITING. Kara has struggled back from a disastrous marriage to build a new life for herself and her little girl -- a peaceful existence now jeopardized by vicious, small town politics, by her daughter's fanciful ghost stories...and by Ryan's return. Now nature's impending fury threatens to expose long-buried secrets. And Kara must join with the enigmatic, misunderstood Ryan -- to discover the truth that will save their families.... and to explore a dangerous, irresistible love as mighty and enduring as the onrushing river.",Barbara Freethy,"Fog City Publishing, LLC",2012-09-10,Fiction,2.0
Hissy Fit,"""Andrews is at her best in this thoroughly satisfying story with the right blend of mystery, romance, and sharply funny writing."" — Orlando Sentinel A delicious tale of revenge and renovation, Hissy Fit tells of a wronged spitfire who’s determined to see that the no-good lowdown, lying, cheating ex-fiancé who ruined her life and her business gets the comeuppance he deserves…even as she struggles to revitalize a broken-down mansion for a hunky, if slightly odd, local businessman. Whether it’s a mystery, sassy women’s fiction, or a combination of the two, New York Times bestselling author Mary Kay Andrews always gives her fans a read to remember. And now she’s throwing a Hissy Fit, in the best possible sense. If you like the novels of Fannie Flagg, Jennifer Crusie, Adriana Trigiani, and Emily Giffin, or are a devoted follower of Rebecca Wells or Jill Conner Browne’s Sweet Potato Queens, then Mary Kay’s Hissy Fit is not to be missed.",Mary Kay Andrews,Harper Collins,2009-10-13,Fiction,31.0
Persuasion (Penguin Audio Classics),"Jane Austen’s last completed novel, a brilliantly insightful story of regret, second chances, and the courage to follow our hearts Anne Elliot is twenty-seven and unmarried—by all accounts a spinster in her time—seemingly doomed to spend the rest of her life waiting on her image-obsessed father and extravagant older sister; attempting to maintain their once lavish, now dwindling family estate; and occasionally babysitting the children of her married younger sister. It wasn’t always this way, though. When Anne was nineteen, she was in love with and engaged to Frederick Wentworth, a man with no money and few prospects. Anne’s well-meaning family and friends convinced her that a young heiress like herself could do better, so she broke off the engagement. But when chance brings Wentworth and Anne together again eight years later, he is now an accomplished naval captain with an impressive fortune, and Anne must face her feelings for him that remain and consider how different her life could have been if only she hadn’t been so easily persuaded by others.",Jane Austen,Penguin,2011-06-28,Fiction,2.0
Founding Brothers: The Revolutionary Generation,"The introduction, discussion questions, suggestions for further reading, and author biography that follow are intended to enhance your reading group's discussion of Joseph Ellis's Founding Brothers: The Revolutionary Generation . We hope they will enrich your experience of this Pulitzer Prize-winning study of the intertwined lives of the founders of the American republic--John Adams, Aaron Burr, Benjamin Franklin, Alexander Hamilton, Thomas Jefferson, James Madison, and George Washington.",Joseph J. Ellis,Vintage,2002,Biography & Autobiography,46.0
The Sword of Shannara,"The Sword of Shannara is the first volume of the classic series that has becomeone of the most popular fantasy tales of all time. Long ago, the wars of the ancient Evil ruined the world. In peaceful Shady Vale, half-elfin Shea Ohmsford knows little of such troubles. But the supposedly dead Warlock Lord is plotting to destroy everything in his wake.The sole weapon against this Power of Darkness is the Sword of Shannara, which can be used only by a trueheir of Shannara. On Shea, last of the bloodline,rests the hope of all the races. Thus begins the enthralling Shannara epic,a spellbinding tale of adventure, magic, and myth . . . BONUS: This edition contains an excerpt from Terry Brooks's The Measure of the Magic.",Terry Brooks,Del Rey,2000-10-06,Fiction,1.0
The Neverending Story,"Shy, awkward Bastian is amazed to discover that he has become a character in the mysterious book he is reading and that he has an important mission to fulfill.",Michael Ende,Penguin,1997,Juvenile Fiction,29.0
The Perfect Husband,"When Tess Beckett married Jim, a well respected and decorated cop, she thought all her dreams had come true. But within two years the vows she made were shattered as her husband was charged with murdering ten women. With Jim behind bars, Tess feels certain that she can move on with her life. Until she learns that Jim has escaped from prison. As a frantic and rigorous manhunt gets underway in four states, Tess knows that it's only a matter of time until her perfect husband tracks her down for the revenge he is sure to demand. And when he finds her, she must be ready. Because this time she's determined that their separation will be 'till death do us part'.",Lisa Gardner,Bantam,2020-06-23,Fiction,27.0
The Trouble with Islam: A Muslim's Call for Reform in Her Faith,"""I have to be honest with you. Islam is on very thin ice with me....Through our screaming self-pity and our conspicuous silences, we Muslims are conspiring against ourselves. We're in crisis and we're dragging the rest of the world with us. If ever there was a moment for an Islamic reformation, it's now. For the love of God, what are we doing about it?"" In blunt, provocative, and deeply personal terms, Irshad Manji unearths the troubling cornerstones of mainstream Islam today: tribal insularity, deep-seated anti-Semitism, and an uncritical acceptance of the Koran as the final, and therefore superior, manifesto of God. In this open letter to Muslims and non-Muslims alike, Manji asks arresting questions. ""Who is the real colonizer of Muslims - America or Arabia? Why are we all being held hostage by what's happening between the Palestinians and the Israelis? Why are we squandering the talents of women, fully half of God's creation? What's our excuse for reading the Koran literally when it's so contradictory and ambiguous? Is that a heart attack you're having? Make it fast. Because if more of us don't speak out against the imperialists within Islam, these guys will walk away with the show."" Manji offers a practical vision of how the United States and its allies can help Muslims undertake a reformation that empowers women, promotes respect for religious minorities, and fosters a competition of ideas. Her vision revives Islam's lost tradition of independent thinking. This book will inspire struggling Muslims worldwide to revisit the foundations of their faith. It will also compel non-Muslims to start posing the important questions without fear of being deemed ""racists."" In more ways than one, The Trouble with Islam is a clarion call for a fatwa-free future.",Irshad Manji,St. Martin's Press,2007-04-01,Religion,18.0
On the Road,"NATIONAL BESTSELLER • WINNER OF THE PULITZER PRIZE • A searing, post-apocalyptic novel about a father and son's fight to survive, this ""tale of survival and the miracle of goodness only adds to McCarthy's stature as a living master. It's gripping, frightening and, ultimately, beautiful"" (San Francisco Chronicle). A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don't know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other. The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, ""each the other's world entire,"" are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.",Cormac McCarthy,Vintage,2007-03-20,Fiction,1024.0
Invisible Monsters: A Novel,"When a freeway ""accident"" leaves a beautiful fashion model disfigured and incapable of speech, she seeks to reinvent herself and her world, along with her new friend, Brandy Alexander, a transvestite who is one operation away from becoming a real woman",Chuck Palahniuk,W. W. Norton & Company,1999-09-17,Fiction,68.0
A Simple Plan,"“Spectacular. . . . Ten shades blacker and several corpses grimmer than the novels of John Grisham. . . . Do yourself a favor. Read this book.” —Entertainment Weekly Two brothers and their friend stumble upon the wreckage of a plane–the pilot is dead and his duffle bag contains four million dollars in cash. In order to hide, keep, and share the fortune, these ordinary men all agree to a simple plan.",Scott Smith,Vintage,2006-10-24,Fiction,25.0
Christine,"Christine was eating into his mind, burrowing into his unconscious. Christine, blood-red, fat, and finned, was twenty. Her promise lay all in her past. Greedy and big, she was Arnie's obsession, a '58 Plymouth Fury. Broken down but not finished. There was still power in her - a frightening power that leaked like sump oil, staining and corrupting. A malign power that corroded the mind and turned ownership into Possession.",Stephen King,Hodder & Stoughton,2011,Fiction,52.0
FEAR AND LOATHING IN LAS VEGAS a Savage Journey to the Heart of the American Dream,"50th Anniversary Edition • With an introduction by Caity Weaver, acclaimed New York Times journalist This cult classic of gonzo journalism is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken. Also a major motion picture directed by Terry Gilliam, starring Johnny Depp and Benicio del Toro.",Hunter S. Thompson,Vintage,2010-09-29,Biography & Autobiography,101.0
Pope Joan,"Rebelling against medieval strictures forbidding the education of women, young Joan assumes the identity of her murdered brother and is initiated into the monastery of Fulda, where she distinguishes herself as a great Christian scholar before relocating to Rome and becoming a powerful force in religious politics. Original.",Donna Woolfolk Cross,Broadway Books,2009,Fiction,62.0
Roses Are Red,"In this heart-pounding but touchingly romantic thriller, Detective Alex Cross pursues the most complex and brilliant killer he's ever confronted - mysterious criminal who calls himself the Mastermind. In a series of crimes that has stunned Washington, D.C., bank robbers have been laying out precise demands when they enter the building - and then killing the bank employees and their families if those instructions are not followed to the letter. Detective Alex Cross takes on the case, certain that this is no ordinary bank robber at work - the pathological need for control and perfection is too great. Cross is in the midst of a personal crisis at home, but the case becomes all-consuming as he learns that the Mastermind is plotting one huge, last, perfect crime.",James Patterson,"Little, Brown",2000-10-01,Fiction,43.0
"1,000 Places to See Before You Die: A Traveler's Life List","The world’s bestselling travel book is back in a more informative, more experiential, more budget-friendly full-color edition. A #1 New York Times bestseller, 1,000 Places reinvented the idea of travel book as both wish list and practical guide. As Newsweek wrote, it “tells you what’s beautiful, what’s fun, and what’s just unforgettable— everywhere on earth.” And now the best is better. There are 600 full-color photographs. Over 200 entirely new entries, including visits to 28 countries like Lebanon, Croatia, Estonia, and Nicaragua, that were not in the original edition. There is an emphasis on experiences: an entry covers not just Positano or Ravello, but the full 30-mile stretch along the Amalfi Coast. Every entry from the original edition has been readdressed, rewritten, and made fuller, with more suggestions for places to stay, restaurants to visit, festivals to check out. And throughout, the book is more budget-conscious, starred restaurants and historic hotels such as the Ritz, but also moderately priced gems that don’t compromise on atmosphere or charm. The world is calling. Time to answer.",Patricia Schultz,Workman Publishing,2015-07-01,Travel,507.0
The Little Friend,"The second novel by Donna Tartt, bestselling author of The Goldfinch (winner of the 2014 Pulitzer Prize), The Little Friend is a grandly ambitious and utterly riveting novel of childhood, innocence and evil. The setting is Alexandria, Mississippi, where one Mother’s Day a little boy named Robin Cleve Dufresnes was found hanging from a tree in his parents’ yard. Twelve years later Robin’s murder is still unsolved and his family remains devastated. So it is that Robin’s sister Harriet—unnervingly bright, insufferably determined, and unduly influenced by the fiction of Kipling and Robert Louis Stevenson--sets out to unmask his killer. Aided only by her worshipful friend Hely, Harriet crosses her town’s rigid lines of race and caste and burrows deep into her family’s history of loss. Filled with hairpin turns of plot and “a bustling, ridiculous humanity worthy of Dickens” (The New York Times Book Review), The Little Friend is a work of myriad enchantments by a writer of prodigious talent.",Donna Tartt,Vintage,2011-10-19,Fiction,70.0
Valhalla Rising (Dirk Pitt Adventure),"Marine explorer Dirk Pitt must rely on the nautical lore of Jules Verne to stop a ruthless oil baron with his sights set on political power in this #1 New York Times-bestselling series. In the middle of its maiden voyage, a luxury cruise ship using revolutionary new engines suddenly catches fire and sinks. Its alarms stay silent; its sprinkler system remains inactive. Nearby NUMA special projects director Dirk Pitt notices smoke and races to the rescue. He's too late to save the engineer behind the ship's new technology, but helps the man's daughter, Kelly Egan, escape with her father's work in a leather briefcase. While Ms. Egan strives to uncover the hidden value in her father's inventions, Pitt is hired on by maritime insurers to investigate the wreckage. Neither are prepared for the mechanical marvels they'll soon be forced to confront. The machines could only be the stuff of legend, described in the tales of Viking explorers or the accounts of Jules Verne. And they may be Pitt and Egan's only hope when an oil tycoon with a plan of his own appears on the scene. Before journey's end, Pitt will take on a power-mad millionaire, tread upon territory previously known only to Verne's illustrious Captain Nemo, and make shocking discoveries about his own past.",Clive Cussler,Penguin,2002-07-30,Fiction,30.0
Autobiography of a Face,"In this celebrated memoir and exploration of identity, cancer transforms the author’s face, childhood, and the rest of her life. At age nine, Lucy Grealy was diagnosed with a potentially terminal cancer. When she returned to school with a third of her jaw removed, she faced the cruel taunts of classmates. It took her twenty years of living with a distorted self-image and more than thirty years of reconstructive procedures before she could come to terms with her appearance. In this lyrical and strikingly candid memoir, Grealy tells her story of great suffering and remarkable strength without sentimentality and with considerable wit. She captures what it is like as a child and a young adult to be torn between two warring impulses: to feel that more than anything else we want to be loved for who we are, while wishing desperately and secretly to be perfect. A New York Times Notable Book “This is a young woman’s first book, the story of her own life, and both book and life are unforgettable.” —New York Times “Engaging and engrossing, a story of grace as well as cruelty, and a demonstration of [Grealy's] own wit and style and class.""—Washington Post Book World",Lucy Grealy,Houghton Mifflin Harcourt,1994-09-27,Biography & Autobiography,40.0
One Last Time,"A New York Times, USA Today, and Wall Street Journal Bestseller. I’m getting really good at cutting my losses. First, the husband. Divorcing him was the best decision I ever made. But between single-parenting and job-hunting, I can’t catch my breath. When a celebrity blogging position falls into my lap, I’m determined to succeed. That is, until I get my first assignment and actually see Noah Frazier for the first time . . . practically naked and dripping wet. My heart races and I forget how to form complete sentences. His chiseled abs, irresistible smirk, and crystal blue eyes are too perfect to be real. So, what do I do? Get drunk and humiliate myself, of course. I’m ready to forget the awkward night, yet Noah has no intention of allowing me to move on. Instead, he arranges for me to write a feature on him, ensuring a lot more time together. One embarrassing moment after another, one kiss after another, and before I can stop myself, I realize—I’m falling in love with him. But when the unthinkable happens, can I even blame him for cutting his losses? What I wouldn’t give for just one last time . . . Read what others are saying about New York Times bestselling author, Corinne Michaels: ""Corinne Michaels shredded me and put me back together in the best possible way with Say You'll Stay. Incredible read and a passionate start to what promises to be one of my new favorite series.” - Meredith Wild - #1 NYT Bestselling Author ""Every book just gets better from Corinne Michaels. She shreds my heart into a million tiny pieces and then magically manages to put it all back together."" - Vi Keeland - #1 New York Times Bestselling Author ""With every new book, Corinne keeps reclaiming her throne as the queen of hope, heartbreak, and epic ever afters."" -- Violet Duke, NYT bestselling author ""5 brilliant stars for Trent and Grace's story. No one does sexy, swoony romance like Corinne Michaels."" - Sawyer Bennett - NYT Bestselling Author “I dare you not to fall in love with the world Corinne Michaels has created.” – Meghan March, NYT Bestselling Author ""Corinne Michaels is a master storyteller and this book held my heart hostage!” - Penny Reid, NYT Bestselling Author ""This book doesn't just tug at your heartstrings -- it pulls your soul all the way in."" -- Julia Kent, NYT Bestselling Author ""A gorgeous blend of heartbreak and hope. Michaels' writes unputdownable romance."" - Helena Hunting, NYT Bestselling Author “Michaels draws her readers in on an emotional level with the finesse and skill of a more seasoned author. Beloved is a debut not to be missed.”– Laurelin Paige, NYT Bestselling Author “Corinne does a masterful job of immersing her readers in this world of trust, friendship, honor, loyalty, and love.” ~ Aleatha Romig – NYT Bestselling Author “Sexy. Heartwarming. Addictive. Michaels is at the top of her game.”~K. Bromberg, NYT Bestselling Author Topics: contemporary romance, small town, second chance, friends to lovers, series, romantic series, women’s fiction, romance saga, romantic small town, series starter, first in series, romance series, romance saga, romantic family saga, new york times bestseller romance, NYT romance, new york times romance, sexy, heartwarming, heart-warming, family, love, love books, kissing books, emotional journey, captivating romance, emotional, healing, hot, hot romance, forbidden love, sparks, loyalty, swoon, Corinne Michaels romance, funny romance, modern romance, new release, office romance, forbidden romance, boy band, older in life, childhood crush, friends to lovers, one night stand, second chance romance, hidden romance, strong alpha, alpha hero, family business, strong female lead, strong heroine, family secrets, top romance reads, best seller, Perfect for fans of Colleen Hoover, Nicholas Sparks, Maya Banks, Penelope Sky, Kendall Ryan, Kennedy Fox, Lexi Blake, Carrie Ann Ryan, Lani Lynn Vale, Chelle Bliss, Sarina Bowen, Penelope Ward, Nora Roberts, Marie Force, Melissa Foster, Kristen Proby, Devney Perry, Susan Stoker, Tessa Bailey, Jana Aston, Sally Thorne, Christina Lauren, Kristan Higgins, Elle Kennedy, Anna Todd, Debbie Macomber, Robyn Carr, Julia Kent, Sylvia Day, K.A. Linde, Catherine Cowles, Jill Shalvis, J. Daniels, Jessica Hawkins, Rachel VanDyken, Jodi Ellen Malpas, L.J. Shen, Natasha Madison, Emily Henry, Kylie Scott, Kennedy Ryan",Corinne Michaels,BAAE Publishing,2018-01-05,Fiction,2.0
"Little women;: Or, Meg, Jo, Beth, and Amy","Little Women with a twist: four sisters from a blended family experience the challenges and triumphs of life in NYC in this beautiful full-color graphic novel perfect for fans of Roller Girl and Smile. Meg, Jo, Beth, and Amy are having a really tough year: with their father serving in the military overseas, they must work overtime to make ends meet...and each girl is struggling in her own way. Whether it's school woes, health issues, boy troubles, or simply feeling lost, the March sisters all need the same thing: support from each other. Only by coming together--and sharing lots of laughs and tears--will these four young women find the courage to discover who they truly are as individuals...and as a family. Meg is the eldest March, and she has a taste for the finer things in life. She dreams of marrying rich, enjoying fabulous clothes and parties, and leaving her five-floor walk-up apartment behind. Jo pushes her siblings to be true to themselves, yet feels like no one will accept her for who she truly is. Her passion for writing gives her an outlet to feel worthy in the eyes of her friends and family. Beth is the shy sister with a voice begging to be heard. But with a guitar in hand, she finds a courage that inspires her siblings to seize the day and not take life for granted. Amy may be the baby of the family, but she has the biggest personality. Though she loves to fight with her sisters, her tough exterior protects a vulnerable heart that worries about her family's future.",Rey Terciero,"Little, Brown Books for Young Readers",2019-02-05,Juvenile Fiction,6.0
Earth abides,"Returning from a field trip, Isherwood Williams discovers that a mysterious plague has destroyed human civilization during his absence and makes his way to San Francisco, where he finds a few survivors who build a small community, living like their pioneer ancestors. Reprint. 20,000 first printing.",George Rippey Stewart,"Random House Digital, Inc.",2006,Fiction,57.0
Zen and the Art of Motorcycle Maintenance : An Inquiry into Values,"THE CLASSIC BOOK THAT HAS INSPIRED MILLIONS A penetrating examination of how we live and how to live better Few books transform a generation and then establish themselves as touchstones for the generations that follow. Zen and the Art of Motorcycle Maintenance is one such book. This modern epic of a man’s search for meaning became an instant bestseller on publication in 1974, acclaimed as one of the most exciting books in the history of American letters. It continues to inspire millions. A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.",Robert M. Pirsig,Harper Collins,2009-04-21,Philosophy,3618.0
Path of Daggers (Wheel of Time 08),"The Wheel of Time is now an original series on Prime Video, starring Rosamund Pike as Moiraine! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. The Seanchan invasion force is in possession of Ebou Dar. Nynaeve, Elayne, and Aviendha head for Caemlyn and Elayne's rightful throne, but on the way they discover an enemy much worse than the Seanchan. In Illian, Rand vows to throw the Seanchan back as he did once before. But signs of madness are appearing among the Asha'man. In Ghealdan, Perrin faces the intrigues of Whitecloaks, Seanchan invaders, the scattered Shaido Aiel, and the Prophet himself. Perrin's beloved wife, Faile, may pay with her life, and Perrin himself may have to destroy his soul to save her. Meanwhile the rebel Aes Sedai under their young Amyrlin, Egwene al'Vere, face an army that intends to keep them away from the White Tower. But Egwene is determined to unseat the usurper Elaida and reunite the Aes Sedai. She does not yet understand the price that others--and she herself--will pay. The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Robert Jordan,Tor Books,2010-05-18,Fiction,50.0
Zen and the Art of Motorcycle Maintenance : An Inquiry Into Values,"THE CLASSIC BOOK THAT HAS INSPIRED MILLIONS A penetrating examination of how we live and how to live better Few books transform a generation and then establish themselves as touchstones for the generations that follow. Zen and the Art of Motorcycle Maintenance is one such book. This modern epic of a man’s search for meaning became an instant bestseller on publication in 1974, acclaimed as one of the most exciting books in the history of American letters. It continues to inspire millions. A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.",Robert M. Pirsig,Harper Collins,2009-04-21,Philosophy,3618.0
The Seat of the Soul,"The anniversary edition of this beloved bestseller is celebrated in Prefaces by Oprah Winfrey and Maya Angelou and contains a new Foreword by the author, website links, and a new Study Guide to help readers find even deeper meaning and fulfillment. The Seat of the Soul encourages you become the authority in your own life. It will change the way you see the world, interact with other people, and understand your own actions and motivations. Beginning with evolution, Gary Zukav takes you on a penetrating exploration of the new phase humanity has entered: we are evolving from a species that understands power as the ability to manipulate and control—external power—into a species that understands power as the alignment of the personality with the soul—authentic power. Our evolution requires each of us to make the values of the soul our own: harmony, cooperation, sharing, and reverence for Life. Using his scientist’s eye and philosopher’s heart, Zukav shows us how to participate fully in this evolution, enlivening our everyday activities and all of our relationships with meaning and purpose. The Seat of the Soul has sold millions of copies around the globe, and as it changes lives, more and more people begin to live by the values of the spirit. Indeed, a new world is emerging, and this book brings its message to you.",Gary Zukav,Simon and Schuster,2007-06-19,"Body, Mind & Spirit",11.0
The All New All Purpose: Joy of Cooking,"Information on foods and cooking techniques accompanies recipes for hors d'oeuvres, soups, salads, main dishes, side dishes, breads, pies, cookies, candies, and desserts","Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker, Maria Guarnaschelli",Simon and Schuster,1997-11-05,Cooking,912.0
Travels with Charley,"A collectible 50th anniversary deluxe edition featuring an updated introduction by Jay Parini and first edition cover art and illustrated maps of Steinbeck’s route by Don Freeman A Penguin Classic In September 1960, John Steinbeck embarked on a journey across America. He felt that he might have lost touch with the country, with its speech, the smell of its grass and trees, its color and quality of light, the pulse of its people. To reassure himself, he set out on a voyage of rediscovery of the American identity, accompanied by a distinguished French poodle named Charley; and riding in a three-quarter-ton pickup truck named Rocinante. His course took him through almost forty states: northward from Long Island to Maine; through the Midwest to Chicago; onward by way of Minnesota, North Dakota, Montana (with which he fell in love), and Idaho to Seattle, south to San Francisco and his birthplace, Salinas; eastward through the Mojave, New Mexico, Arizona, to the vast hospitality of Texas, to New Orleans and a shocking drama of desegregation; finally, on the last leg, through Alabama, Virginia, Pennsylvania, and New Jersey to New York. Travels with Charley in Search of America is an intimate look at one of America's most beloved writers in the later years of his life—a self-portrait of a man who never wrote an explicit autobiography. Written during a time of upheaval and racial tension in the South—which Steinbeck witnessed firsthand—Travels with Charley is a stunning evocation of America on the eve of a tumultuous decade. This Penguin Classics Deluxe Edition also features French flaps and deckle-edged paper. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",John Steinbeck,Penguin,2012-10-02,Travel,3294.0
Zen And The Art of Motorcycle Maintenance,"THE CLASSIC BOOK THAT HAS INSPIRED MILLIONS A penetrating examination of how we live and how to live better Few books transform a generation and then establish themselves as touchstones for the generations that follow. Zen and the Art of Motorcycle Maintenance is one such book. This modern epic of a man’s search for meaning became an instant bestseller on publication in 1974, acclaimed as one of the most exciting books in the history of American letters. It continues to inspire millions. A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.",Robert M. Pirsig,Harper Collins,2009-04-21,Philosophy,3618.0
Cat's cradle (A Dell book),"“A free-wheeling vehicle . . . an unforgettable ride!”—The New York Times Cat’s Cradle is Kurt Vonnegut’s satirical commentary on modern man and his madness. An apocalyptic tale of this planet’s ultimate fate, it features a midget as the protagonist, a complete, original theology created by a calypso singer, and a vision of the future that is at once blackly fatalistic and hilariously funny. A book that left an indelible mark on an entire generation of readers, Cat’s Cradle is one of the twentieth century’s most important works—and Vonnegut at his very best. “[Vonnegut is] an unimitative and inimitable social satirist.”—Harper’s Magazine “Our finest black-humorist . . . We laugh in self-defense.”—Atlantic Monthly",Kurt Vonnegut,Dial Press,2009-11-04,Fiction,157.0
Visions of Sugar Plums,A holiday adventure finds Stephanie Plum struggling to remove an intruder from her apartment and falling for a mysterious newcomer.,Janet Evanovich,Macmillan,2007-10-30,Fiction,48.0
The magus (A Dell book),A controlling millionaire plays mind games with the teacher recently hired to teach on a small Greek island.,John Fowles,Dell Publishing Company,1978,Fiction,12.0
